,Country,Commodity,Commodity (Type),Year,Exports (Extra-EU) (THOUSAND TONS),Exports (Intra-EU) (THOUSAND TONS),Imports (Extra-EU) (THOUSAND TONS),Imports (Intra-EU) (THOUSAND TONS),Total Exports (THOUSAND TONS),Total Imports (THOUSAND TONS),Area (SQ.KM.),Total Population (THOUSAND PEOPLE)
0,Austria,ACIDIFIED MILK,DAIRY,2002,0.4674,64.8472,0.0768,14.158641,65.3146,14.235441,83871,8059.591
1,Austria,ACIDIFIED MILK,DAIRY,2003,0.7849,81.6189,0.0298,19.60146,82.40379999999999,19.63126,83871,8098.393
2,Austria,ACIDIFIED MILK,DAIRY,2004,1.6431,94.5392999999999,0.0081,20.401765,96.1823999999999,20.409865,83871,8141.815
3,Austria,ACIDIFIED MILK,DAIRY,2005,1.5528,105.2454,0.0287,19.7193999999999,106.79820000000001,19.7480999999999,83871,8200.618
4,Austria,ACIDIFIED MILK,DAIRY,2006,6.1842,119.3792,0.0283,24.2542559999999,125.5634,24.2825559999999,83871,8253.451
5,Austria,ACIDIFIED MILK,DAIRY,2007,4.805,137.6592,0.0156,28.1669849999999,142.4642,28.1825849999999,83871,8282.076
6,Austria,ACIDIFIED MILK,DAIRY,2008,3.3613,144.6456,0.0866,25.9763,148.0069,26.0629,83871,8307.368
7,Austria,ACIDIFIED MILK,DAIRY,2009,7.4647,142.1252,0.1732,32.6495,149.5899,32.822700000000005,83871,8334.895
8,Austria,ACIDIFIED MILK,DAIRY,2010,6.799739,136.589627,0.082809,36.229022,143.389366,36.311831,83871,8350.976
9,Austria,ACIDIFIED MILK,DAIRY,2011,5.6909,126.181609,0.012069,27.689957,131.872509,27.702026,83871,8374.682
10,Austria,ACIDIFIED MILK,DAIRY,2012,4.613204,126.826017,0.0311,25.923045,131.439221,25.954144999999997,83871,8407.717
11,Austria,ACIDIFIED MILK,DAIRY,2013,2.99805699999999,129.156258999999,0.048429,24.002929,132.154315999999,24.051358,83871,8451.556
12,Austria,ACIDIFIED MILK,DAIRY,2014,1.608988,134.027225,0.000115,25.512373,135.636213,25.512488,83871,8507.522
13,Austria,ACIDIFIED MILK,DAIRY,2015,1.985631,124.178947,0.022879,29.2661459999999,126.16457799999999,29.2890249999999,83871,8584.609
14,Austria,ACIDIFIED MILK,DAIRY,2016,1.89185299999999,118.384849,0.006793,29.791938,120.27670199999999,29.798730999999997,83871,8700.233
15,Austria,ACIDIFIED MILK,DAIRY,2017,2.367515,105.671653999999,0.00309499999999999,28.642482,108.03916899999899,28.645577,83871,8772.74
16,Austria,ACIDIFIED MILK,DAIRY,2018,3.386562,95.661867,0.005025,25.550188,99.048429,25.555213,83871,8822.252
17,Austria,ACIDIFIED MILK,DAIRY,2019,4.941875,94.773073,0.035298,24.948884,99.71494799999999,24.984182,83871,8858.773
18,Austria,ACIDIFIED MILK,DAIRY,2020,5.03481699999999,94.38561,0.105927,23.4936209999999,99.42042699999999,23.599547999999903,83871,8901.106
19,Austria,ACIDIFIED MILK,DAIRY,2021,3.243817,89.766682,0.00784799999999999,22.880341,93.01049900000001,22.888189,83871,8914.448
20,Austria,ACIDIFIED MILK,DAIRY,2022,2.39832099999999,103.361645,0.0,24.174188,105.75996599999999,24.174188,83871,8929.716
126,Austria,BUTTER (80-90% FAT),DAIRY,2002,0.35922,2.3192,0.11471,5.734736,2.67842,5.8494459999999995,83871,8059.591
127,Austria,BUTTER (80-90% FAT),DAIRY,2003,0.1138,1.4092,0.230459999999999,9.024191,1.523,9.254650999999999,83871,8098.393
128,Austria,BUTTER (80-90% FAT),DAIRY,2004,0.2724,1.3288,0.108129999999999,9.94428,1.6012,10.052409999999998,83871,8141.815
129,Austria,BUTTER (80-90% FAT),DAIRY,2005,0.1774,1.0597,0.490349999999999,8.883707,1.2371,9.374056999999999,83871,8200.618
130,Austria,BUTTER (80-90% FAT),DAIRY,2006,0.215699999999999,1.2649,0.15935,8.7448,1.480599999999999,8.90415,83871,8253.451
131,Austria,BUTTER (80-90% FAT),DAIRY,2007,0.1414,1.5523,0.00300999999999999,6.663,1.6937,6.66601,83871,8282.076
132,Austria,BUTTER (80-90% FAT),DAIRY,2008,0.1651,1.4357,0.00115,7.97439999999999,1.6008,7.97554999999999,83871,8307.368
133,Austria,BUTTER (80-90% FAT),DAIRY,2009,0.0747,1.4902,0.11026,8.2729,1.5649,8.38316,83871,8334.895
134,Austria,BUTTER (80-90% FAT),DAIRY,2010,0.0787064,1.371648,5.49e-05,8.519152,1.4503544,8.5192069,83871,8350.976
135,Austria,BUTTER (80-90% FAT),DAIRY,2011,0.1254196,1.209827,0.0001759,9.512392,1.3352466,9.5125679,83871,8374.682
136,Austria,BUTTER (80-90% FAT),DAIRY,2012,0.0584924,1.72549099999999,0.0004709,9.89250399999999,1.78398339999999,9.89297489999999,83871,8407.717
137,Austria,BUTTER (80-90% FAT),DAIRY,2013,0.0598996,1.61977599999999,0.000877,10.214042,1.67967559999999,10.214918999999998,83871,8451.556
138,Austria,BUTTER (80-90% FAT),DAIRY,2014,0.051768,1.853082,8.7e-06,12.20623,1.90485,12.2062387,83871,8507.522
139,Austria,BUTTER (80-90% FAT),DAIRY,2015,0.156609199999999,3.799054,1.61e-05,11.784884,3.955663199999999,11.7849001,83871,8584.609
140,Austria,BUTTER (80-90% FAT),DAIRY,2016,0.063302,4.33304,0.0476184999999999,11.825777,4.396342,11.8733955,83871,8700.233
141,Austria,BUTTER (80-90% FAT),DAIRY,2017,0.0618861999999999,3.627224,0.00351889999999999,9.770488,3.6891102,9.7740069,83871,8772.74
