,Country,Commodity,Commodity (Type),Year,Exports (Extra-EU) (THOUSAND TONS),Exports (Intra-EU) (THOUSAND TONS),Imports (Extra-EU) (THOUSAND TONS),Imports (Intra-EU) (THOUSAND TONS),Total Exports (THOUSAND TONS),Total Imports (THOUSAND TONS),Area (SQ.KM.),Total Population (THOUSAND PEOPLE)
42,Austria,APPLES,APPLES,2002,178.37651,333.33658,111.54775,334.581058,511.71309,446.128808,83871,8059.591
43,Austria,APPLES,APPLES,2003,167.95069,332.013029999999,233.49273,432.443956,499.963719999999,665.936686,83871,8098.393
44,Austria,APPLES,APPLES,2004,198.58107,484.53831,295.99811,522.028293,683.1193800000001,818.026403,83871,8141.815
45,Austria,APPLES,APPLES,2005,186.42231,529.74066,295.47486,426.405099,716.1629700000001,721.879959,83871,8200.618
46,Austria,APPLES,APPLES,2006,184.10694,403.716039999999,292.26899,433.617336,587.822979999999,725.886326,83871,8253.451
47,Austria,APPLES,APPLES,2007,190.34015,544.037719999999,364.24526,328.438939,734.377869999999,692.684199,83871,8282.076
48,Austria,APPLES,APPLES,2008,171.08427,516.55001,222.27692,537.44956,687.63428,759.72648,83871,8307.368
49,Austria,APPLES,APPLES,2009,162.996482,499.62839,141.957349,437.636353,662.624872,579.593702,83871,8334.895
50,Austria,APPLES,APPLES,2010,187.221224,579.357068,250.024528,328.50515,766.578292,578.529678,83871,8350.976
51,Austria,APPLES,APPLES,2011,175.102702,455.876853,181.799641,377.684369,630.979555,559.48401,83871,8374.682
52,Austria,APPLES,APPLES,2012,174.144091,487.863323,205.495721,522.166461,662.0074139999999,727.662182,83871,8407.717
53,Austria,APPLES,APPLES,2013,177.01732,433.644081999999,235.7108,318.471963999999,610.661401999999,554.182763999999,83871,8451.556
54,Austria,APPLES,APPLES,2014,212.641796,455.657968,185.290352,406.41195,668.299764,591.702302,83871,8507.522
55,Austria,APPLES,APPLES,2015,235.696179,412.227746999999,283.431267,401.173996,647.923925999999,684.6052629999999,83871,8584.609
56,Austria,APPLES,APPLES,2016,176.661642,360.248864999999,184.272532,466.913417,536.910506999999,651.1859489999999,83871,8700.233
57,Austria,APPLES,APPLES,2017,189.819579,397.753597,284.234325,321.362086,587.573176,605.596411,83871,8772.74
58,Austria,APPLES,APPLES,2018,276.977942,415.63085,220.975574,520.292393,692.608792,741.267967,83871,8822.252
