,Country,Commodity,Commodity (Type),Year,Exports (Extra-EU) (THOUSAND TONS),Exports (Intra-EU) (THOUSAND TONS),Imports (Extra-EU) (THOUSAND TONS),Imports (Intra-EU) (THOUSAND TONS),Total Exports (THOUSAND TONS),Total Imports (THOUSAND TONS),Area (SQ.KM.),Total Population (THOUSAND PEOPLE)
315,Austria,EXTRA VIRGIN AND VIRGIN OTHER THAN LAMPANTE OLIVE OIL,SPECIALISED CROPS,2004,0.0243999999999999,0.0474,0.0171,5.356844,0.07179999999999989,5.373944,83871,8141.815
316,Austria,EXTRA VIRGIN AND VIRGIN OTHER THAN LAMPANTE OLIVE OIL,SPECIALISED CROPS,2005,0.022,0.1739,0.0222,5.443183,0.1959,5.465383,83871,8200.618
317,Austria,EXTRA VIRGIN AND VIRGIN OTHER THAN LAMPANTE OLIVE OIL,SPECIALISED CROPS,2006,0.1478,0.1457,0.0116,6.411591,0.2935,6.423190999999999,83871,8253.451
318,Austria,EXTRA VIRGIN AND VIRGIN OTHER THAN LAMPANTE OLIVE OIL,SPECIALISED CROPS,2007,0.2925,0.474599999999999,0.014,5.778287,0.767099999999999,5.792287,83871,8282.076
319,Austria,EXTRA VIRGIN AND VIRGIN OTHER THAN LAMPANTE OLIVE OIL,SPECIALISED CROPS,2008,0.1863,0.5528,0.0115,5.884338,0.7391,5.8958379999999995,83871,8307.368
320,Austria,EXTRA VIRGIN AND VIRGIN OTHER THAN LAMPANTE OLIVE OIL,SPECIALISED CROPS,2009,0.296691999999999,0.578305,0.0120279999999999,6.64089499999999,0.8749969999999989,6.65292299999999,83871,8334.895
321,Austria,EXTRA VIRGIN AND VIRGIN OTHER THAN LAMPANTE OLIVE OIL,SPECIALISED CROPS,2010,0.39457,0.475819,0.0122119999999999,7.001741,0.870389,7.013953,83871,8350.976
322,Austria,EXTRA VIRGIN AND VIRGIN OTHER THAN LAMPANTE OLIVE OIL,SPECIALISED CROPS,2011,0.497263,0.565309,0.018567,7.596607,1.0625719999999998,7.615174,83871,8374.682
323,Austria,EXTRA VIRGIN AND VIRGIN OTHER THAN LAMPANTE OLIVE OIL,SPECIALISED CROPS,2012,0.435691,0.637703999999999,0.023474,7.601785,1.073394999999999,7.625259,83871,8407.717
324,Austria,EXTRA VIRGIN AND VIRGIN OTHER THAN LAMPANTE OLIVE OIL,SPECIALISED CROPS,2013,0.529359,0.784913,0.029489,7.385008,1.3142719999999999,7.414497,83871,8451.556
325,Austria,EXTRA VIRGIN AND VIRGIN OTHER THAN LAMPANTE OLIVE OIL,SPECIALISED CROPS,2014,0.570093,0.767184,0.022242,8.290769,1.3372769999999998,8.313011,83871,8507.522
326,Austria,EXTRA VIRGIN AND VIRGIN OTHER THAN LAMPANTE OLIVE OIL,SPECIALISED CROPS,2015,0.471138,1.045283,0.039653,8.875588,1.516421,8.915241,83871,8584.609
327,Austria,EXTRA VIRGIN AND VIRGIN OTHER THAN LAMPANTE OLIVE OIL,SPECIALISED CROPS,2016,0.115356,0.200563,0.01417,1.828441,0.315919,1.842611,83871,8700.233
328,Austria,EXTRA VIRGIN AND VIRGIN OTHER THAN LAMPANTE OLIVE OIL,SPECIALISED CROPS,2017,0.0,0.0,0.0,0.0,0.0,0.0,83871,8772.74
329,Austria,EXTRA VIRGIN AND VIRGIN OTHER THAN LAMPANTE OLIVE OIL,SPECIALISED CROPS,2018,0.0,0.0,0.0,0.0,0.0,0.0,83871,8822.252
330,Austria,EXTRA VIRGIN AND VIRGIN OTHER THAN LAMPANTE OLIVE OIL,SPECIALISED CROPS,2019,0.0,0.0,0.0,0.0,0.0,0.0,83871,8858.773
331,Austria,EXTRA VIRGIN AND VIRGIN OTHER THAN LAMPANTE OLIVE OIL,SPECIALISED CROPS,2020,0.0,0.0,0.0,0.0,0.0,0.0,83871,8901.106
332,Austria,EXTRA VIRGIN AND VIRGIN OTHER THAN LAMPANTE OLIVE OIL,SPECIALISED CROPS,2021,0.0,0.0,0.0,0.0,0.0,0.0,83871,8914.448
333,Austria,EXTRA VIRGIN OLIVE OIL,SPECIALISED CROPS,2004,0.0,0.0,0.0,0.0,0.0,0.0,83871,8141.815
334,Austria,EXTRA VIRGIN OLIVE OIL,SPECIALISED CROPS,2005,0.0,0.0,0.0,0.0,0.0,0.0,83871,8200.618
335,Austria,EXTRA VIRGIN OLIVE OIL,SPECIALISED CROPS,2006,0.0,0.0,0.0,0.0,0.0,0.0,83871,8253.451
336,Austria,EXTRA VIRGIN OLIVE OIL,SPECIALISED CROPS,2007,0.0,0.0,0.0,0.0,0.0,0.0,83871,8282.076
337,Austria,EXTRA VIRGIN OLIVE OIL,SPECIALISED CROPS,2008,0.0,0.0,0.0,0.0,0.0,0.0,83871,8307.368
338,Austria,EXTRA VIRGIN OLIVE OIL,SPECIALISED CROPS,2009,0.0,0.0,0.0,0.0,0.0,0.0,83871,8334.895
339,Austria,EXTRA VIRGIN OLIVE OIL,SPECIALISED CROPS,2010,0.0,0.0,0.0,0.0,0.0,0.0,83871,8350.976
340,Austria,EXTRA VIRGIN OLIVE OIL,SPECIALISED CROPS,2011,0.0,0.0,0.0,0.0,0.0,0.0,83871,8374.682
341,Austria,EXTRA VIRGIN OLIVE OIL,SPECIALISED CROPS,2012,0.0,0.0,0.0,0.0,0.0,0.0,83871,8407.717
342,Austria,EXTRA VIRGIN OLIVE OIL,SPECIALISED CROPS,2013,0.0,0.0,0.0,0.0,0.0,0.0,83871,8451.556
343,Austria,EXTRA VIRGIN OLIVE OIL,SPECIALISED CROPS,2014,0.0,0.0,0.0,0.0,0.0,0.0,83871,8507.522
344,Austria,EXTRA VIRGIN OLIVE OIL,SPECIALISED CROPS,2015,0.0,0.0,0.0,0.0,0.0,0.0,83871,8584.609
345,Austria,EXTRA VIRGIN OLIVE OIL,SPECIALISED CROPS,2016,0.262125,0.738892,0.013167,4.705182,1.001017,4.718349,83871,8700.233
346,Austria,EXTRA VIRGIN OLIVE OIL,SPECIALISED CROPS,2017,0.603253,0.766077999999999,0.013045,8.741149,1.369330999999999,8.754194,83871,8772.74
347,Austria,EXTRA VIRGIN OLIVE OIL,SPECIALISED CROPS,2018,0.643189,0.95702,0.022272,7.765671,1.600209,7.787943,83871,8822.252
348,Austria,EXTRA VIRGIN OLIVE OIL,SPECIALISED CROPS,2019,0.717554,0.79973,0.050163,8.552463,1.517284,8.602625999999999,83871,8858.773
349,Austria,EXTRA VIRGIN OLIVE OIL,SPECIALISED CROPS,2020,0.820602,0.919909,0.018406,8.37911099999999,1.7405110000000001,8.39751699999999,83871,8901.106
350,Austria,EXTRA VIRGIN OLIVE OIL,SPECIALISED CROPS,2021,0.621028,0.38362,0.030761,7.431718,1.004648,7.462479,83871,8914.448
539,Austria,LAMPANTE OLIVE OIL,SPECIALISED CROPS,2004,0.0001,0.0002,0.0,0.115699999999999,0.00030000000000000003,0.115699999999999,83871,8141.815
540,Austria,LAMPANTE OLIVE OIL,SPECIALISED CROPS,2005,0.0,0.0,0.0,0.1401,0.0,0.1401,83871,8200.618
541,Austria,LAMPANTE OLIVE OIL,SPECIALISED CROPS,2006,0.0,0.0,0.0003,0.0600999999999999,0.0,0.0603999999999999,83871,8253.451
542,Austria,LAMPANTE OLIVE OIL,SPECIALISED CROPS,2007,0.0005,0.0,0.0,0.0642,0.0005,0.0642,83871,8282.076
543,Austria,LAMPANTE OLIVE OIL,SPECIALISED CROPS,2008,0.002,0.0,0.0,0.084221,0.002,0.084221,83871,8307.368
544,Austria,LAMPANTE OLIVE OIL,SPECIALISED CROPS,2009,0.012436,0.00128299999999999,0.0,0.124623,0.01371899999999999,0.124623,83871,8334.895
545,Austria,LAMPANTE OLIVE OIL,SPECIALISED CROPS,2010,0.009128,0.000558999999999999,0.0,0.064499,0.009687,0.064499,83871,8350.976
546,Austria,LAMPANTE OLIVE OIL,SPECIALISED CROPS,2011,0.095056,0.001211,0.0,0.064061,0.096267,0.064061,83871,8374.682
547,Austria,LAMPANTE OLIVE OIL,SPECIALISED CROPS,2012,0.097688,0.000965,0.0,0.057855,0.09865299999999999,0.057855,83871,8407.717
548,Austria,LAMPANTE OLIVE OIL,SPECIALISED CROPS,2013,0.034906,0.000519,1.1e-05,0.06695,0.035425,0.06696099999999999,83871,8451.556
549,Austria,LAMPANTE OLIVE OIL,SPECIALISED CROPS,2014,0.003085,0.000565,0.0,0.077083,0.00365,0.077083,83871,8507.522
550,Austria,LAMPANTE OLIVE OIL,SPECIALISED CROPS,2015,0.002052,0.000876,0.0,0.062669,0.002928,0.062669,83871,8584.609
551,Austria,LAMPANTE OLIVE OIL,SPECIALISED CROPS,2016,0.0,0.00736099999999999,0.0,0.085232,0.00736099999999999,0.085232,83871,8700.233
552,Austria,LAMPANTE OLIVE OIL,SPECIALISED CROPS,2017,0.0,0.046513,2e-05,0.080423,0.046513,0.080443,83871,8772.74
553,Austria,LAMPANTE OLIVE OIL,SPECIALISED CROPS,2018,0.0,0.0013,0.0,0.095337,0.0013,0.095337,83871,8822.252
554,Austria,LAMPANTE OLIVE OIL,SPECIALISED CROPS,2019,0.0,0.000949,0.0,0.084461,0.000949,0.084461,83871,8858.773
555,Austria,LAMPANTE OLIVE OIL,SPECIALISED CROPS,2020,3.5e-05,0.001266,0.000118,0.05988,0.001301,0.059998,83871,8901.106
